wavelength;DO1-blank;DO1-blank2;DO1-blank3;1;0.5;3;DO3side2-blank7;2;blank-do-mppc;do_mppc
776;"-0,0004477";"-0,000222097";"0,449404955";"1,065063596";"0,564976275";"2,69126153";"2,683357";"1,791816831";"0,00166382";"1,034506083"
775;"-0,000553038";"-0,000342492";"0,448214233";"1,06295681";"0,563883603";"2,692092657";"2,680136919";"1,792749643";"0,001498584";"1,033683777"
774;"-0,000508206";"-0,000693397";"0,447784185";"1,062108159";"0,563775599";"2,698479176";"2,684434652";"1,794729233";"0,001088574";"1,034384966"
773;"-0,000614512";"-0,000247141";"0,44744131";"1,060998797";"0,562685132";"2,694873333";"2,686634302";"1,793446064";"0,001652334";"1,033979535"
772;"-0,000346423";"-0,000303433";"0,446831495";"1,059711099";"0,562404931";"2,699886322";"2,682929277";"1,794308782";"0,001444273";"1,034409404"
771;"-0,000187891";"-0,000243208";"0,446392506";"1,058215618";"0,561466992";"2,699507952";"2,684334755";"1,794385791";"0,001314406";"1,034846544"
770;"-0,000631055";"-0,000489952";"0,445608586";"1,057021141";"0,561195016";"2,698354483";"2,685039759";"1,794645667";"0,001586884";"1,034188509"
769;"-0,000472679";"-0,000210091";"0,445468009";"1,05591011";"0,55966115";"2,698570728";"2,688708067";"1,794572353";"0,001472402";"1,035121679"
768;"-0,00046849";"-0,000523151";"0,444437057";"1,053556442";"0,559509397";"2,696622849";"2,687885523";"1,795285702";"0,001091714";"1,034169316"
767;"-0,000518652";"-0,000455354";"0,44440046";"1,052647114";"0,558828235";"2,696584225";"2,69007659";"1,795648694";"0,001680269";"1,034491897"
766;"-0,000796505";"-0,000478058";"0,443770737";"1,051193118";"0,558616579";"2,700667381";"2,69210124";"1,795857906";"0,001479649";"1,0353297"
765;"-0,000150164";"-0,000228513";"0,443622023";"1,050477028";"0,557476282";"2,699171543";"2,690624714";"1,796227217";"0,001600914";"1,034252048"
764;"-0,000293137";"-0,000322368";"0,442768604";"1,049008131";"0,557141602";"2,700033665";"2,688916683";"1,794288039";"0,001324324";"1,035207391"
763;"-0,000260542";"-0,000416513";"0,442377448";"1,047991276";"0,556515336";"2,702936649";"2,696391344";"1,796236277";"0,001571504";"1,03445518"
762;"-0,000442063";0;"0,442295283";"1,045227408";"0,556196094";"2,701877117";"2,690497637";"1,794348359";"0,001309213";"1,034798622"
761;"-0,000455096";"-0,000371667";"0,44131276";"1,045773983";"0,556117475";"2,702009201";"2,692245007";"1,795727849";"0,001369168";"1,035006404"
760;"-0,000412426";"-0,00029919";"0,44078663";"1,044215798";"0,555707693";"2,707254171";"2,695975304";"1,795073509";"0,001445702";"1,034472585"
759;"-0,000499571";"-0,000321799";"0,440219581";"1,043744922";"0,554602802";"2,705365181";"2,697458744";"1,797155261";"0,001437183";"1,035559416"
758;"-0,000338715";"-0,000439477";"0,439982414";"1,042061925";"0,554211438";"2,707015753";"2,692627192";"1,796159983";"0,001569062";"1,035377026"
757;"-0,000351027";"-0,000616425";"0,43974939";"1,041486621";"0,553973854";"2,707938194";"2,695956469";"1,797095776";"0,001219542";"1,035271287"
756;"-0,000390547";"-0,000169468";"0,439205915";"1,040256023";"0,553215027";"2,711934328";"2,692583323";"1,79521358";"0,00185137";"1,035276294"
755;"-0,000271407";"-0,000487883";"0,438951194";"1,038802147";"0,552949905";"2,708086729";"2,695864439";"1,798155308";"0,001950662";"1,035072327"
754;"-0,000228616";"-0,000507948";"0,438422263";"1,037758231";"0,551792085";"2,70901227";"2,696583986";"1,796275616";"0,001442585";"1,034873605"
753;"-0,000252884";0;"0,438297868";"1,037029386";"0,552053928";"2,70875001";"2,699108124";"1,797173738";"0,001597744";"1,035357952"
752;"-0,000305244";0;"0,43756184";"1,036301255";"0,551398456";"2,707515001";"2,695747375";"1,796821833";"0,001403317";"1,034771562"
751;"-0,000156737";"-0,000501019";"0,437395752";"1,035307646";"0,551111698";"2,714074373";"2,702785015";"1,79740715";"0,001422821";"1,035558462"
750;"-0,000344871";"-0,000462646";"0,43686077";"1,034324169";"0,550892353";"2,71086812";"2,699870586";"1,798925996";"0,001381633";"1,035580277"
749;"-0,000420961";"-0,000339336";"0,436444849";"1,033689499";"0,550182223";"2,713922024";"2,704084873";"1,798871636";"0,001481415";"1,03523922"
748;"-0,000196896";"-0,000260594";"0,436203808";"1,031962276";"0,549279511";"2,711961031";"2,705414772";"1,797592044";"0,001504091";"1,035629988"
747;"-0,000316418";"-0,000394944";"0,435833752";"1,032197237";"0,549165607";"2,712816715";"2,701632977";"1,799440026";"0,001302384";"1,035638213"
746;"-0,000414909";"-0,000340267";"0,435678303";"1,030941248";"0,54879117";"2,713795424";"2,702584743";"1,798807621";"0,001376491";"1,036026478"
745;"-0,000222304";"-0,00027446";"0,435234487";"1,029402494";"0,548513115";"2,712195873";"2,703630447";"1,799196482";"0,001756285";"1,035413623"
744;"-0,000519945";"-0,00020502";"0,435042143";"1,029432893";"0,548092902";"2,717974663";"2,699473143";"1,799485803";"0,001636432";"1,03548193"
743;"9,32E-05";0;"0,434485793";"1,028146267";"0,547804415";"2,718048811";"2,703563929";"1,800316215";"0,001593457";"1,035682321"
742;"-0,000556502";0;"0,434630066";"1,027824044";"0,547702372";"2,713853121";"2,705137253";"1,799088001";"0,001422769";"1,035987496"
741;"-0,000430891";0;"0,434329987";"1,026975989";"0,547431529";"2,718553543";"2,705954075";"1,800077558";"0,001545551";"1,035699129"
740;"-0,000377719";"-0,00032423";"0,433713019";"1,026985526";"0,547188342";"2,717980146";"2,710018396";"1,798458815";"0,001513624";"1,035739779"
739;"-0,000319419";"-0,000307313";"0,433477163";"1,025595427";"0,546993613";"2,718067646";"2,706967115";"1,800211191";"0,001297659";"1,035860419"
738;"-0,000543989";"-0,000306847";"0,433372498";"1,024914622";"0,546484292";"2,714690447";"2,706568003";"1,800530434";"0,001469986";"1,035676003"
737;"-0,000658195";"-0,000566792";"0,433336705";"1,024883986";"0,546184421";"2,719444752";"2,71112299";"1,801534653";"0,001381737";"1,035704613"
736;"-0,000611979";"-0,000627178";"0,433065772";"1,024449229";"0,546326578";"2,720423937";"2,711204767";"1,800901651";"0,001037116";"1,035821915"
