wavelength;DO1-blank;DO1-blank2;DO1-blank3;1;DO16-blank5;3;DO3side2-blank7;2;blank;mppc
724;-0.001892845;-0.002078064;0.430883765;1.020.732.999;0.544208646;272.717.309;271.466.279;1.802.185.416;-0.0002844453848;1.034.723.997
723;-0.002380255;-0.002002625;0.430726051;1.021.390.676;0.544370353;2.723.057.032;2.713.135.958;180.202.651;-0.0001638272806;1.034.849.286
722;-0.002472256;-0.002359762;0.430871666;1.020.974.994;0.54442966;2.724.820.375;2.713.172.436;1.802.624.941;-0.0008399634389;1.034.500.241
721;-0.002421135;-0.002607828;0.430431366;1.020.852.685;0.544386029;2.727.462.769;2.717.036.963;1.800.108.552;-0.00079366297;1.034.164.071
720;-0.002881314;-0.002669115;0.430594921;1.021.581.292;0.544393778;2.726.900.339;2.715.538.025;1.802.127.123;-0.0009417451802;1.034.326.196
719;-0.003204583;-0.003029149;0.4306072;1.021.648.884;0.544354796;2.726.288.557;2.714.179.516;1.802.137.494;-0.001112550497;1.034.006
718;-0.00238906;-0.002395805;0.43147859;1.023.010.612;0.54507184;2.730.230.331;2.717.768.669;1.802.721.143;-0.0004235467059;1.034.345.984
717;-0.00335986;-0.003189371;0.43083474;102.260.685;0.544816136;2.726.891.994;2.720.601.082;1.802.083.254;-0.001228104346;103.356.576
716;-0.003220977;-0.003207821;0.431066603;1.023.104.668;0.544948757;2.726.705.313;271.542.263;1.801.249.504;-0.001270641806;1.033.663.511
715;-0.003273802;-0.003380614;0.431207985;1.023.817.301;0.5452227;2.727.983.952;2.715.893.745;1.801.800.251;-0.001669692807;1.033.898.234
714;-0.00341688;-0.003426177;0.431343466;1.025.038.242;0.545470357;2.726.542.473;271.391.654;1.802.731.037;-0.001471554628;1.033.801.079
713;-0.003597292;-0.003574751;0.432075471;1.026.106.596;0.546079159;2.729.361.773;2.719.022.512;1.800.825.834;-0.001447509858;1.033.604.622
712;-0.003531514;-0.003644835;0.432152748;102.721.262;0.546435475;2.731.486.082;2.720.337.152;1.801.822.066;-0.001698779175;1.033.478.618
711;-0.003481134;-0.003772856;0.432533383;1.028.448.224;0.546922505;2.729.561.806;2.720.614.433;1.801.290.154;-0.001603828743;1.033.526.301
