,blanc,,Coupe 694_665,,,Red 620,,,lime 550_15,
505,575.579,505,3758035,3757459.421,505,928.002,352.423,505,904.5065,328.9275
506,558.0572,506,3902207,3901648.9428,506,854.9175,296.8603,506,926.1663,368.1091
507,657.4182,507,4040399,4039741.5818,507,968.2229,310.8047,507,1004.086,346.6678
508,481.2832,508,4170533,4170051.7168,508,926.5045,445.2213,508,950.5714,469.2882
509,702.1384,509,4286206,4285503.8616,509,932.1671,230.0287,509,1077.453,375.3146
510,718.568,510,4403624,4402905.432,510,986.5304,267.9624,510,1047.432,328.864
511,552.9189,511,4539170,4538617.0811,511,970.7128,417.7939,511,1105.888,552.9691
512,743.7326,512,4679072,4678328.2674,512,867.6968,123.9642,512,966.8699,223.1373
513,637.7093,513,4803273,4802635.2907,513,850.2936,212.5843,513,1287.99,650.2807
514,517.1269,514,4916142,4915624.8731,514,920.7676,403.6407,514,1273.974,756.8471
515,724.0667,515,5028754,5028029.9333,515,1041.666,317.5993,515,1346.576,622.5093
516,703.595,516,5088381,5087677.405,516,908.2917,204.6967,516,1151.378,447.783
517,554.4572,517,5198556,5198001.5428,517,954.2118,399.7546,517,1547.442,992.9848
518,597.8312,518,5332496,5331898.1688,518,987.7508,389.9196,518,1611.671,1013.8398
519,471.4466,519,5448144,5447672.5534,519,798.86,327.4134,519,1715.705,1244.2584
520,659.773,520,5548399,5547739.227,520,831.3248,171.5518,520,1530.774,871.001
521,704.955,521,5651287,5650582.045,521,1010.902,305.947,521,2155.003,1450.048
522,697.1483,522,5746390,5745692.8517,522,791.0007,93.8524000000001,522,1635.732,938.5837
523,527.1498,523,5845432,5844904.8502,523,1000.268,473.1182,523,2000.684,1473.5342
524,694.9819,524,5923868,5923173.0181,524,994.7999,299.818,524,2793.985,2099.0031
525,741.9028,525,5984641,5983899.0972,525,1016.702,274.7992,525,2047.297,1305.3942
526,554.0275,526,6066149,6065594.9725,526,1108.099,554.0715,526,1980.852,1426.8245
527,738.9651,527,6147651,6146912.0349,527,1045.728,306.7629,527,3318.986,2580.0209
528,771.9015,528,6208532,6207760.0985,528,814.0076,42.1061,528,3551.45,2779.5485
529,723.5433,529,6326429,6325705.4567,529,1007.306,283.7627,529,3263.623,2540.0797
530,903.4811,530,6421842,6420938.5189,530,1276.38,372.8989,530,3628.955,2725.4739
531,778.6824,531,6469538,6468759.3176,531,1139.212,360.5296,531,4254.939,3476.2566
532,753.9421,532,6522157,6521403.0579,532,1072.941,318.9989,532,5845.104,5091.1619
533,686.4171,533,6600376,6599689.5829,533,1212.227,525.8099,533,7729.57,7043.1529
534,867.9215,534,6674362,6673494.0785,534,1279.852,411.9305,534,8021.141,7153.2195
535,697.5911,535,6736610,6735912.4089,535,742.1204,44.5293,535,10916.65,10219.0589
536,793.6675,536,6803316,6802522.3325,536,913.4738,119.8063,536,13008.78,12215.1125
537,860.1981,537,6863182,6862321.8019,537,1222.416,362.2179,537,15362.5,14502.3019
538,532.252,538,6949624,6949091.748,538,1216.63,684.378,538,22173.21,21640.958
539,536.2468,539,7003007,7002470.7532,539,1087.854,551.6072,539,46193.32,45657.0732
540,663.7278,540,7061039,7060375.2722,540,1234.888,571.1602,540,183335,182671.2722
541,793.6481,541,7101792,7100998.3519,541,1198.284,404.6359,541,1200189,1199395.3519
542,705.9587,542,7140478,7139772.0413,542,1459.052,753.0933,542,1929536,1928830.0413
543,759.3036,543,7209220,7208460.6964,543,1107.342,348.0384,543,1655671,1654911.6964
544,925.1072,544,7300835,7299909.8928,544,1547.223,622.1158,544,1581419,1580493.8928
545,867.3696,545,7348525,7347657.6304,545,1060.131,192.7614,545,1921810,1920942.6304
546,566.1028,546,7385364,7384797.8972,546,1116.069,549.9662,546,1828999,1828432.8972
547,912.3023,547,7435512,7434599.6977,547,1287.027,374.7247,547,2097317,2096404.6977
548,721.9222,548,7465334,7464612.0778,548,1427.498,705.5758,548,1977764,1977042.0778
549,744.1895,549,7525153,7524408.8105,549,1554.605,810.4155,549,1753521,1752776.8105
550,766.7234,550,7579908,7579141.2766,550,1416.827,650.1036,550,1769959,1769192.2766
551,991.7502,551,7609176,7608184.2498,551,1311.152,319.4018,551,2058060,2057068.2498
552,762.7933,552,7683382,7682619.2067,552,1610.422,847.6287,552,2080564,2079801.2067
553,631.8675,553,7754212,7753580.1325,553,1110.069,478.2015,553,1781053,1780421.1325
554,774.2088,554,7802712,7801937.7912,554,1307.593,533.3842,554,2101262,2100487.7912
555,832.584,555,7854550,7853717.416,555,1543.813,711.229,555,1726767,1725934.416
556,786.9384,556,7888183,7887396.0616,556,1416.54,629.6016,556,1802477,1801690.0616
