,405,,480,,0,,650,,550
431,40218.08,431,5393.416,381,15752.977,381,314.1991,381,200.5492
432,35253.64,432,5536.014,382,15343.5325,382,200.6401,382,127.0707
433,30650.32,433,6212.164,383,16196.6353,383,347.4897,383,200.4704
434,27409.21,434,7074.937,384,15543.095,384,240.4267,384,146.9254
435,23618.55,435,7543.118,385,16019.6666,385,167.0329,385,133.6256
436,20098.22,436,8252.118,386,15794.4405,386,127.0225,386,106.966
437,18393.16,437,8433.921,387,16259.6609,387,167.0846,387,80.1995
438,16457.52,438,10176.38,388,16204.0574,388,200.4793,388,147.017
439,15405.57,439,10989.96,389,16978.0618,389,367.4459,389,113.5699
440,14117.99,440,16676.23,390,17232.2977,390,280.5763,390,86.8425
441,12668.56,441,32659.59,391,17609.6982,391,100.0964,391,93.4232
442,11814.76,442,64631.67,392,17755.4337,392,340.0472,392,140.0152
443,10133.86,443,108804.1,393,21184.9185,393,213.927,393,274.0963
444,9711.336,444,174147.7,394,27644.965,394,207.8149,394,160.8878
445,9376.993,445,248810.5,395,30450.2986,395,301.7297,395,174.3294
446,7952.907,446,331132.4,396,35338.982,396,335.3863,396,93.9048
447,7643.033,447,404875.5,397,41327.3111,397,214.5252,397,187.7088
448,7264.417,448,477962.3,398,48409.5665,398,281.4652,398,167.536
449,6846.579,449,545374.9,399,57105.0371,399,308.0634,399,180.8164
450,6356.038,450,622084.7,400,68781.575,400,401.6338,400,207.5048
451,5929.639,451,695479.6,401,81485.969,401,234.1994,401,133.8262
452,5841.713,452,790107.8,402,93855.9628,402,153.8767,402,93.6632
453,5166.349,453,875877.4,403,116815.0836,403,127.8077,403,215.2579
454,5235.675,454,986491.8,404,142164.9098,404,216.4356,404,162.3254
455,4322.601,455,1083050,405,167400.0046,405,494.23,405,182.789
456,4913.426,456,1213325,406,214531.3467,406,298.2256,406,60.9986
457,4433.61,457,1339442,407,277740.8198,407,360.2791,407,122.3547
458,4468.656,458,1464304,408,343354.3196,408,313.64,408,129.5435
459,4545.663,459,1585603,409,417935.9343,409,287.1252,409,218.7598
460,4456.442,460,1715299,410,497651.018,410,274.207,410,157.6664
461,4653.726,461,1842012,411,590180.8762,411,199.0856,411,151.0294
462,4273.482,462,1970327,412,706346.7116,412,89.3844,412,206.2753
463,4464.583,463,2082889,413,823521.1427,413,144.8165,413,6.8959
464,4151.144,464,2186862,414,950599.9562,414,89.9167,414,228.2548
465,4144.145,465,2287228,415,1071609.897,415,403.0642,415,83.3887
466,4182.455,466,2376192,416,1221703.988,416,104.7328,416,111.7151
467,4084.913,467,2436253,417,1374188.42,417,286.6237,417,265.6504
468,3873.601,468,2488826,418,1553913.019,418,154.0065,418,21.0005
469,3930.527,469,2512052,419,1703910.516,419,246.0393,419,393.6712
470,3649.056,470,2509840,420,1854311.414,420,190.6005,420,472.9905
471,3803.246,471,2501732,421,2000274.235,421,383.3851,421,567.9927
472,3481.107,472,2487309,422,2161686.275,422,271.3271,422,406.9985
473,3422.877,473,2413738,423,2300594.436,423,322.18,423,622.9076
474,3344.44,474,2337011,424,2455458.205,424,337.4326,424,588.7327
475,3033.38,475,2255751,425,2581798.489,425,288.435,425,317.2798
476,3178.916,476,2155963,426,2707024.697,426,115.8781,426,506.9939
477,3300.53,477,2043665,427,2818396.586,427,189.079,427,327.2583
478,3074.068,478,1928351,428,2933178.5,428,226.3825,428,525.8132
479,3295.229,479,1806154,429,3054179.087,429,88.2336,429,455.8961
480,3255.953,480,1671147,430,3159981.701,430,347.9525,430,451.6043
481,3465.801,481,1512526,431,3250871.726,431,379.1803,431,386.6156
482,3072.187,482,1335585,432,3350331.309,432,253.8614,432,97.0626
483,3360.105,483,1092820,433,3432882.156,433,247.4131,433,142.4479
484,3202.658,484,838094.8,434,3521205.249,434,301.1378,434,-7.5281
485,3240.973,485,544064.1,435,3604048.121,435,219.4389,435,121.0682
486,3237.124,486,313970.5,436,3683667.837,436,372.66,436,296.604
487,3284.456,487,166599.6,437,3765223.001,437,290.8062,437,99.4838
488,3729.948,488,100391.5,438,3855238.921,438,292.6118,438,69.3008
