,Ecxitation_750,,Excitation_690,,Emission_550,,Emission_600,,Blank_600
426,70646.39,426,208794,686,6917025,736,3844442,426,2918.361
427,70544.96,427,210818,687,6788041,737,3775975,427,2710.25
428,70133.2,428,211983.3,688,6678371,738,3626012,428,3070.469
429,70030.5,429,210219.8,689,6493866,739,3508372,429,3059.245
430,72800.19,430,213248.3,690,6332805,740,3379520,430,3132.412
431,72013.29,431,216919.6,691,6216056,741,3277786,431,2195.246
432,77284.55,432,219627.7,692,6091487,742,3154140,432,2846.827
433,73073.18,433,225130.4,693,5967280,743,3040531,433,2641.709
434,75692.71,434,223464.4,694,5849004,744,2907875,434,2670.734
435,77481.88,435,227916.4,695,5715111,745,2827585,435,2935.764
436,75630.35,436,238043.5,696,5592130,746,2681987,436,3123.895
437,76253.91,437,234854.4,697,5533247,747,2584073,437,2886.82
438,80483.5,438,241633.8,698,5426324,748,2519269,438,2836.82
439,81610.56,439,243743.2,699,5317385,749,2424695,439,2595.749
440,85806.41,440,253521.3,700,5194040,750,2309772,440,2190.012
441,84698.71,441,257333.3,701,5129153,751,2226339,441,2869.931
442,90483.09,442,263568.5,702,5047221,752,2160782,442,2438.408
443,89291.3,443,271390,703,4955572,753,2078960,443,2888.835
444,94305.64,444,287373.6,704,4887220,754,1990001,444,2531.13
445,95180.07,445,289765,705,4794491,755,1909694,445,2523.158
446,97507.09,446,303647.9,706,4721346,756,1842585,446,2749.995
447,102550.1,447,309286.5,707,4669779,757,1802025,447,2828.846
448,102011,448,318851,708,4622527,758,1708154,448,2962.426
449,105649.3,449,331340.7,709,4553863,759,1658064,449,2701.615
450,109018.3,450,337929.3,710,4486981,760,1634643,450,2327.645
451,112636.6,451,346858,711,4427632,761,1531210,451,2307.045
452,110190,452,353676.1,712,4400207,762,1473810,452,2497.723
453,119058.4,453,369995.1,713,4325847,763,1420994,453,2685.106
454,124459.7,454,378131.7,714,4239624,764,1414311,454,2171.742
455,125541.6,455,389712.1,715,4184887,765,1324770,455,2332.563
456,132531.7,456,403823.3,716,4137687,766,1303829,456,2708.661
457,134303.1,457,414695.4,717,4079851,767,1262880,457,2642.118
458,140669.1,458,434575,718,4033137,768,1227604,458,2665.39
459,142077.1,459,441675.6,719,3960677,769,1165777,459,1677.058
460,146084.8,460,459689.6,720,3887252,770,1148078,460,2308.935
