Time,Read
972,774
973,4095
974,4095
975,4095
976,2003
976,2239
977,2319
978,2267
979,4095
980,4095
981,4095
982,4095
982,778
983,1059
984,1472
985,4095
986,4095
987,4095
988,4095
988,2134
989,1875
990,1472
991,1033
992,4095
993,4095
994,4095
995,4095
995,1956
996,2219
997,2332
998,4095
999,4095
1000,4095
1001,4095
1002,4095
1003,4095
1004,4095
1005,4095
1005,1973
1006,2239
1007,2289
1008,2163
1009,1886
1010,1437
1011,801
1012,730
1013,4095
1014,4095
1015,4095
1016,4095
1017,4095
1018,4095
1019,4095
1020,4095
1021,4095
1022,4095
1023,4095
1023,1131
1024,1535
1025,1935
1026,2203
1027,2291
1028,2192
1029,1936
1030,1525
1031,880
1032,867
1033,4095
1034,4095
1035,4095
1036,4095
1037,4095
1038,4095
1039,4095
1040,4095
1040,4095
1041,704
1042,728
1043,1009
1044,1411
1045,1823
1046,2150
1047,2331
1048,2321
1049,4095
1050,4095
1051,4095
1052,4095
1053,4095
1054,4095
1055,4095
1056,4095
1057,4095
1057,4095
1058,4095
1059,1875
1060,1406
1061,768
1062,708
1063,967
1064,1385
1065,3423
1066,4095
1067,4095
1068,4095
1069,4095
1070,4095
1071,4095
1072,4095
1073,4095
1073,4095
1074,4095
1075,1938
1076,2223
1077,2315
1078,2203
1079,1951
1080,1524
1081,896
1082,681
1083,982
1084,4095
1085,4095
1086,4095
1087,4095
1088,4095
1088,4095
1089,4095
1090,4095
1091,734
1092,718
1093,971
1094,1353
1095,1776
1096,2135
1097,2381
1098,4095
1099,4095
1100,4095
1101,4095
1102,4095
1103,4095
1104,4095
1104,4095
1105,4095
1106,4095
1107,2294
1108,2182
1109,1921
1110,1490
1111,852
1112,685
1113,909
1114,2299
1115,4095
1116,4095
1117,4095
1118,4095
1119,4095
1119,4095
1120,4095
1121,4095
1122,4095
1123,1048
1124,1461
1125,1857
1126,2165
1127,2297
1128,2221
1129,1998
1130,1613
1131,1001
1132,676
1133,889
1134,4095
1135,4095
1136,4095
1136,4095
1137,4095
1138,4095
1139,4095
1140,4095
1141,807
1142,701
1143,930
1144,1296
1145,1713
1146,2070
1147,2303
1148,2341
1149,4095
1150,4095
1151,4095
1152,4095
1152,4095
1153,4095
1154,4095
1155,4095
1156,2211
1157,2310
1158,2223
1159,1979
1160,1564
1161,944
1162,676
1163,864
1164,1256
1165,2839
1166,4095
1167,4095
1167,4095
1168,4095
1169,4095
1170,4095
1171,4095
1172,725
1173,976
1174,1362
1175,1764
1176,2106
1177,2299
1178,2270
1179,2098
1180,1762
1181,1242
1182,710
1182,4095
1183,4095
1184,4095
1185,4095
1186,4095
1187,4095
1188,2194
1189,1945
1190,1520
1191,904
1192,673
1193,876
1194,1230
1195,1663
1196,2039
1197,2352
1198,4095
1198,4095
1199,4095
1200,4095
1201,4095
1202,4095
1203,4095
1204,1434
1205,1829
1206,2145
1207,2295
1208,2231
1209,2013
1210,1642
1211,1056
1212,682
1213,834
1214,1185
1215,1653
1215,4095
1216,4095
1217,4095
1218,4095
1219,4095
1220,4095
1221,4095
1222,704
1223,938
1224,1298
1225,1715
1226,2063
1227,2277
1228,2269
1229,2103
1230,1782
1231,1270
1232,689
1232,4095
1233,4095
1234,4095
1235,4095
1236,4095
1237,4095
1238,2224
1239,1987
1240,1601
1241,992
1242,676
1243,837
1244,1168
1245,1600
1246,1981
